Step(s),Voltage(V),Current_inv(A),SOC_true(%)
0,3.4478,0,100
1,3.4322,-59.9719,99.6405
2,3.4312,-59.985,99.64
3,3.4304,-59.9903,99.6395
4,3.4297,-59.9937,99.639
5,3.4291,-59.9959,99.6385
6,3.4285,-59.9972,99.638
7,3.428,-59.998,99.6375
8,3.4275,-59.9986,99.637
9,3.427,-59.9991,99.6365
10,3.4266,-59.9993,99.636
11,3.4261,-59.9997,99.6355
12,3.4257,-60,99.635
13,3.4254,-60.0003,99.6345
14,3.4249,-60.0003,99.634
15,3.4246,-60.0002,99.6335
16,3.4242,-60.0003,99.633
17,3.4239,-60.0005,99.6325
18,3.4236,-60.0003,99.632
19,3.4232,-60.0004,99.6315
20,3.4229,-60.0004,99.631
21,3.4226,-60.0004,99.6305
22,3.4223,-60.0003,99.63
23,3.422,-60.0004,99.6295
24,3.4217,-60.0004,99.629
25,3.4215,-60.0006,99.6285
26,3.4212,-60.0006,99.628
27,3.4209,-60.0006,99.6275
28,3.4207,-60.0008,99.627
29,3.4204,-60.0008,99.6265
30,3.4201,-60.0007,99.626
31,3.4199,-60.0008,99.6255
32,3.4196,-60.0009,99.625
33,3.4194,-60.0008,99.6245
34,3.4191,-60.0007,99.6241
35,3.4189,-60.0006,99.6236
36,3.4187,-60.0006,99.6231
37,3.4184,-60.0006,99.6226
38,3.4182,-60.0007,99.6221
39,3.418,-60.0007,99.6216
40,3.4178,-60.0007,99.6211
41,3.4176,-60.0007,99.6206
42,3.4174,-60.0008,99.6201
43,3.4171,-60.0008,99.6196
44,3.4169,-60.0008,99.6191
45,3.4167,-60.0009,99.6186
46,3.4165,-60.001,99.6181
47,3.4163,-60.001,99.6176
48,3.4161,-60.001,99.6171
49,3.4159,-60.001,99.6166
50,3.4157,-60.0011,99.6161
51,3.4155,-60.0011,99.6156
52,3.4154,-60.0012,99.6151
53,3.4151,-60.001,99.6146
54,3.415,-60.001,99.6141
55,3.4148,-60.001,99.6136
56,3.4146,-60.0011,99.6131
57,3.4144,-60.0011,99.6126
58,3.4142,-60.001,99.6121
59,3.4141,-60.0009,99.6116
60,3.4139,-60.0009,99.6111
